student,take_exam,social,gender,pretest,posttest,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,total_time_be,total_activity_be,qp_time,wa_time,qp_activity,wa_activity,exam_norm,lgain_pp,lgain_pe
user0330,1,0,1,0.18,,0.58,0.5,0.87,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,,
user0334,1,0,1,0.18,0.0,0.33,0.5,0.53,0.39,0.61,48505161.0,20.0,109.0,20.0,0.0,48505161.0,0.0,109.0,34.0,-0.18,-100.0
user0335,1,0,1,0.09,0.18,0.5,0.2,0.67,0.67,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.09,100.0
user0269,1,0,1,0.27,0.36,0.33,0.65,0.53,0.44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.08999999999999997,33.33333333333332
user0308,1,0,1,0.18,0.73,0.5,0.6,0.47,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.55,305.5555555555556
user0261,1,0,1,1.0,0.73,0.58,0.55,0.73,0.83,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.27,-27.0
user0301,1,0,1,0.18,0.45,0.33,0.5,0.6,0.78,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.27,150.00000000000003
user0309,1,0,0,0.09,0.36,0.58,0.55,0.4,0.78,0.44,136892458.0,22.0,67.0,22.0,0.0,136892458.0,0.0,67.0,82.0,0.27,300.00000000000006
user0297,0,0,1,0.27,,0.25,0.65,0.67,0.61,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0306,0,0,1,0.27,,0.58,0.5,0.8,0.61,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0321,1,0,1,0.18,,0.42,0.5,0,0.56,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,,
user0266,1,0,1,0.09,0.36,0.58,0.65,0.8,0.61,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.27,300.00000000000006
user0267,0,0,1,0.09,,0.75,0.7,0.73,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0291,0,0,0,0.0,,0.58,0.25,0.67,0.83,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0307,1,0,1,0.73,,0.58,0.9,0.67,0.89,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,
user0331,0,0,1,0.36,,0.67,0.3,0.93,1,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0256,1,0,1,0.09,0.73,0.58,0.7,0.6,0.83,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.64,711.1111111111112
user0258,1,0,1,0.27,1.0,0.5,0.55,0.8,0.94,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.73,270.3703703703703
user0259,1,0,1,0.82,0.91,1,0.75,1,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.09000000000000008,10.97560975609757
user0314,1,0,1,0.18,0.36,0.58,0.3,0.6,0.78,0.67,179087711.0,72.0,355.0,72.0,0.0,179087711.0,0.0,355.0,88.0,0.18,100.0
user0328,1,0,1,0.27,0.91,0.58,0.9,0.6,0.83,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.64,237.037037037037
user0283,1,0,1,0.09,0.45,0.33,0.25,0.6,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.36,400.0
user0284,1,0,1,0.0,0.45,0.58,0,0.67,0.89,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.45,0.0
user0286,1,0,1,0.55,,0.67,0.75,0.73,0.89,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,,
user0293,1,0,1,0.0,0.64,0.5,0.5,0.53,0.78,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.64,0.0
user0319,1,0,1,0.09,0.27,0.83,0.5,0.6,0.78,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.18000000000000002,200.00000000000006
user0337,1,0, ,,0.55, , , , , ,313807700.0,43.0,480.0,43.0,51083830.0,262723870.0,201.0,279.0,88.0,,0.0
user0323,1,0,1,0.27,0.64,0.58,0.45,0.73,0.72,0.17,431826900.0,60.0,2750.0,60.0,194154742.0,237672158.0,1764.0,986.0,89.0,0.37,137.037037037037
user0253,1,0,1,0.09,0.18,0.58,0.7,0.67,0.56,0.44,43022224.0,6.0,66.0,6.0,28681547.0,14340677.0,54.0,12.0,58.0,0.09,100.0
